PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] HREC_ETIS_1.raw.PG.Quantity,[2] HREC_ETIS_2.raw.PG.Quantity,[3] HREC_ETIS_3.raw.PG.Quantity,[4] HREC_ETIS_4.raw.PG.Quantity,[5] HREC_IRIS_1.raw.PG.Quantity,[6] HREC_IRIS_2.raw.PG.Quantity,[7] HREC_IRIS_3.raw.PG.Quantity,[8] HREC_IRIS_4.raw.PG.Quantity,[9] HREC_P_1.raw.PG.Quantity,[10] HREC_P_2.raw.PG.Quantity,[11] HREC_P_3.raw.PG.Quantity,[12] HREC_P_4.raw.PG.Quantity
A6NKF1,SAC3D1,SAC3 domain-containing protein 1,3825.470947,2397.548096,2487.357666,3487.425537,3923.723877,2856.377686,4590.573242,1925.985352,10380.31445,5676.358398,4549.412109,5605.351074
A6QL63,BTBD11,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11,7193.507813,6521.381348,7853.818848,8288.566406,6135.265625,6310.48584,5908.372559,7396.760254,7436.601074,6814.89502,7143.403809,7483.514648
A6ZKI3,RTL8C,Retrotransposon Gag-like protein 8C,9866.132813,7254.588379,9226.148438,7697.38916,7947.901855,8923.928711,7277.542969,7528.30127,10803.02539,7179.98291,10154.35645,4422.816406
A7E2V4,ZSWIM8,Zinc finger SWIM domain-containing protein 8,7988.563965,7438.971191,8644.605469,8893.371094,8389.036133,6767.92334,8720.40625,8229.106445,7770.161133,8066.033203,7255.515137,7477.224121
A7KAX9,ARHGAP32,Rho GTPase-activating protein 32,5676.663574,5043.706543,4594.356934,4784.524414,4911.276367,2551.640137,4234.152344,5058.647949,2840.103027,4823.759277,2925.795166,4142.256348
A7MCY6,TBKBP1,TANK-binding kinase 1-binding protein 1,NaN,NaN,0.222972929,NaN,NaN,NaN,NaN,NaN,NaN,0.087405846,0.591542959,NaN
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C,5585.540527,6272.214844,6940.70166,6217.178223,5933.171387,5558.587891,5318.847168,5521.147461,4367.314453,2844.578613,4272.876465,4275.040039
A8K0Z3;C4AMC7;Q6VEQ5,WASHC1;WASH3P;WASH2P,WASH complex subunit 1;Putative WAS protein family homolog 3;WAS protein family homolog 2,65629.92188,68136.27344,61312.46484,62330.48828,63391.94531,63757.5625,56702.55469,60856.625,44234.68359,48713.40625,47884.71484,43515.45313
A8K2U0,A2ML1,Alpha-2-macroglobulin-like protein 1,1962.385132,2409.221191,1909.06543,1733.866333,1089.689941,2005.818726,1424.209717,2144.763428,844.3129883,1493.184937,1321.27356,1439.302368
A8K855,EFCAB7,EF-hand calcium-binding domain-containing protein 7,2891.049561,4434.787598,3222.529785,3124.217041,1030.027344,3566.905273,2413.009033,3173.16626,578.2837524,5579.248535,1159.5802,3332.313965
A8MPS7,YDJC,Carbohydrate deacetylase,9567.025391,9126.423828,7930.709473,7543.426758,8475.175781,6295.15332,7644.963379,10281.37012,3813.62207,5281.935547,3043.259521,5027.024414
A8MQ03,CYSRT1,Cysteine-rich tail protein 1,46.82323456,NaN,26.16980934,NaN,NaN,NaN,27.63640022,NaN,NaN,35.92491531,NaN,NaN
A8MT33,SYCE1L,Synaptonemal complex central element protein 1-like,1479.977417,266.4117432,1024.900024,1550.881104,873.3769531,1105.86084,1872.87146,1503.184937,1233.79541,1353.361816,504.1227417,3.414164066
A8MT69,CENPX,Centromere protein X,NaN,NaN,NaN,NaN,119.2503967,539.8251953,NaN,NaN,128.3748322,283.9691162,489.6472473,1708.370239
A8MW92,PHF20L1,PHD finger protein 20-like protein 1,2.855676174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.194782257,0.464434028,3.781052351,NaN
A8MWD9;P62308,SNRPGP15;SNRPG,Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G,163557.0781,402831.5,375748.125,359008.7188,380825.1563,399906.0625,425562.3125,435221.0625,277587.7188,273764.4375,189407.5781,486431.7188
A8MXV4,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,28089.77734,27808.74023,16873.48633,27275.75977,18570.34375,20590.99414,23677.35742,18773.62695,14201.58398,12323.93066,11698.20898,11917.66406
A9UHW6,MIF4GD,MIF4G domain-containing protein,20700.09766,27098.79102,18617.19141,22549.99609,22860.06836,24356.46094,19729.93359,23474.82813,27320.41602,23744.74219,21379.61133,18634.21484
B0FP48;E5RIL1,UPK3BL1;UPK3BL2,Uroplakin-3b-like protein 1;Uroplakin-3b-like protein 2,NaN,3.867981434,NaN,NaN,NaN,NaN,1.195701361,NaN,NaN,NaN,3.372472525,1.806459665
B0YJ81,HACD1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,1691.4021,461.4846497,1144.083496,1259.867188,2406.547852,809.1231689,1520.119507,1691.111816,2006.785278,1871.327637,2415.757813,1745.012451
B1AK53,ESPN,Espin,264.5274048,670.7923584,313.8045654,542.9660034,473.5493469,539.3948364,617.4224854,447.6798706,2191.217041,126.459671,1151.72522,844.1060181
B2RBV5,,Putative MORF4 family-associated protein 1-like protein UPP,NaN,3897.323486,625.3773804,4410.27832,1973.939819,258.1982117,924.736145,NaN,585.1278076,1295.70813,915.180481,4676.060547
B2RTY4,MYO9A,Unconventional myosin-IXa,5940.47998,5162.192871,6892.300781,6269.775879,6182.082031,5974.709961,6053.880371,6246.855957,5126.199219,5057.708496,5199.237305,5753.601563
B2RUZ4,SMIM1,Small integral membrane protein 1,NaN,NaN,NaN,NaN,NaN,1.044730067,NaN,NaN,1.525434136,NaN,NaN,NaN
B4DJY2,TMEM233,Transmembrane protein 233,2506.702148,2707.724365,2531.860596,3201.116943,3233.240967,2302.934814,3681.725098,4023.761475,3516.531006,3077.940674,2912.130127,2242.113037
B4DS77,SHISA9,Protein shisa-9,533.5473022,383.8968201,236.632782,302.894989,678.1523438,685.6612549,488.3404236,1607.569092,816.3166504,837.6109619,1694.24231,940.348938
B4DU55,ZNF879,Zinc finger protein 879,945.3151855,897.5074463,697.4730225,994.2190552,1088.662598,935.2200317,787.9598389,NaN,531.5380249,1527.168701,591.3982544,1508.598633
B7ZAP0,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10",1849.039185,2560.312256,1836.139404,2926.293213,2346.644531,1858.629028,1392.419922,1556.921631,2111.026367,2814.834961,3368.115234,2816.660645
B7ZAQ6;P0CG08,GPR89A;GPR89B,Golgi pH regulator A;Golgi pH regulator B,51162.10938,61943.07422,60745.3125,56922.19922,63302.65625,58962.01172,61660.03906,63893.41406,45917.73047,48729.84375,47048.34766,56020.85547
B7ZBB8,PPP1R3G,Protein phosphatase 1 regulatory subunit 3G,5716.951172,6244.53125,7019.469238,8087.817383,5291.321777,5174.066406,4032.126953,7656.414551,1832.282104,2592.828369,729.0044556,4818.914063
C9J7I0,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,2757.397461,3171.597168,2016.947021,2435.962158,2672.020752,3636.236328,3266.074951,1851.55896,1699.872437,2795.570557,1695.200806,2485.219727
C9JQI7,TMEM232,Transmembrane protein 232,4069.250244,490.4501343,3426.283203,4821.650391,2534.319092,1373.220703,4338.227539,2993.72583,2562.520752,3418.02124,285.9269409,3492.623779
E9PAV3;Q13765,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",687189.625,635608.1875,681285.375,628455.25,732048.8125,733877.0625,743630.9375,674676.875,610965.5625,778608.625,668926.375,960549.1875
E9PRG8,C11orf98,Uncharacterized protein C11orf98,11218.42188,10614.67871,10198.91602,11380.2207,13322.24512,13862.42773,12501.5166,8781.116211,10069.54297,13766.74219,10311.12988,14818.82129
K7EJ46,SMIM22,Small integral membrane protein 22,359.4261475,1437.658447,NaN,1220.418579,NaN,NaN,655.3865967,166.4402008,517.1127319,1749.094727,NaN,772.3143311
L0R6Q1,SLC35A4,SLC35A4 upstream open reading frame protein,8534.360352,3925.502686,4776.149902,7016.709961,5177.450195,6212.889648,5672.194824,5124.152832,11976.12207,1690.39856,5883.243164,1951.309692
L0R819,ASDURF,ASNSD1 upstream open reading frame protein,8373.155273,6750.092285,7537.381348,7152.817383,6024.255859,6375.143066,8399.974609,7021.356934,4105.15625,4887.730957,6900.634277,6549.271973
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",175012.4063,153564.3125,167624.7969,156176.6875,169276.8906,160296.25,172344.5938,146813.4219,196757.3438,177950.3438,186900.5938,184353.5469
O00124,UBXN8,UBX domain-containing protein 8,5156.306641,2835.921631,2079.981689,2504.724854,2153.71167,2422.817139,4807.749512,4935.355469,3755.59375,2998.19873,3715.172119,4200.310547
O00139,KIF2A,Kinesin-like protein KIF2A,24106.06445,29853.28125,29797.99805,31336.20703,32011.94531,30959.24609,35833.71875,37274.13672,30238.50195,24754.64063,28693.28516,26748.54883
O00142,TK2,"Thymidine kinase 2, mitochondrial",4374.217773,5296.486816,6756.911133,6126.629395,6149.076172,5125.972656,4181.669434,5011.668457,4032.759033,2429.988281,564.5476074,3488.231445
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,2420.629395,7169.703613,2403.999268,2991.493652,3180.305176,5281.583496,2720.404785,3084.342285,6998.804688,7195.086426,7033.066895,6587.008301
O00151,PDLIM1,PDZ and LIM domain protein 1,172838.4063,182568.1719,193448.2656,174352.7813,165372.8281,195853.625,171681.6875,162913.6406,127430.8438,91600.91406,88646.77344,100459.7422
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,87889.25,100664.1484,103509.5469,102560.3594,106602.0859,119003.3906,93401.53906,116995.2188,86898.78906,74492.46875,80875.9375,79748.10156
O00159,MYO1C,Unconventional myosin-Ic,407560.6563,379689.8438,401700.5625,413552.1563,395052.375,393414.25,436544.2813,439406.75,383132.25,374544.1875,326635.9063,374228.5
O00161,SNAP23,Synaptosomal-associated protein 23,24775.82227,26660.21484,27201.52734,28260.84961,23956.1582,26025.08789,26374.95313,27312.08398,26231.55469,29358.67188,28281.14453,28878.60352
O00165,HAX1,HCLS1-associated protein X-1,16374.35938,20231.27539,15802.30664,16545.51563,17751.91797,21878.67188,17278.73047,16610.64453,52629.59766,22931.92578,41365.9375,159992.3906
O00167,EYA2,Eyes absent homolog 2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O00170,AIP,AH receptor-interacting protein,58227.19531,53174.10156,49863.26953,47480.82031,47538.28906,55345.86719,43490.37891,47807.71875,61761.875,55279.58984,54001.72656,45542.04297
O00178,GTPBP1,GTP-binding protein 1,36778.92969,31848.53906,42492.71484,41080.13281,35132.09375,36031.37891,36908.47656,42346.00781,39596.56641,37501.92188,32514.58594,41706.28906
O00186,STXBP3,Syntaxin-binding protein 3,36778.58203,39413.82031,33547.6875,37921.87109,35793.67969,35323.67969,30679.92773,38079.14844,35632.42188,28566.63477,35278.83984,28809.90039
O00189,AP4M1,AP-4 complex subunit mu-1,8520.405273,7644.359863,10378.03809,7091.265625,4578.269531,3435.928711,3497.822266,5857.962891,4522.578613,1557.828613,1618.879761,5348.969727
O00192,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,10933.69434,9730.790039,9888.442383,8391.907227,9445.865234,9841.149414,10434.58105,9971.178711,9228.024414,8699.228516,9329.291992,8641.459961
O00193,SMAP,Small acidic protein,45051.57813,89136.67188,51696.75781,39535.28906,48550.35938,37149.79688,43898.375,43271.34375,40364.27734,51461.39063,37893.03516,52379.25391
O00194,RAB27B,Ras-related protein Rab-27B,173.9637299,512.6491089,NaN,5901.654297,4086.5271,NaN,4997.744141,3427.71582,583.4647827,5465.23584,7437.833008,6636.424805
O00203,AP3B1,AP-3 complex subunit beta-1,115748.375,120150.2422,137310.4531,140028.375,144835.5938,132230.3906,140555.3125,136545.6563,108610.1953,107750.3438,90001.80469,124484.5547
O00204,SULT2B1,Sulfotransferase 2B1,3683.786865,13105.39355,2217.167236,5271.041016,2470.44043,6714.674805,4618.214844,2481.827148,1467.174438,3664.811035,3217.446533,4377.636719
O00212,RHOD,Rho-related GTP-binding protein RhoD,7532.085938,225.5436401,7581.104004,6874.121094,6953.383301,NaN,6958.959473,1095.755737,4337.100098,7993.253906,6947.693848,6551.160156
O00213,APBB1,Amyloid-beta A4 precursor protein-binding family B member 1,23401.44727,17201.61133,19643.65625,17513.31055,14547.04297,17455.49414,15158.0166,20476.68945,18781.11719,16680.57031,21225.6582,18209.08203
O00214,LGALS8,Galectin-8,24475.63672,22153.95508,24601.00391,21221.34961,26125.12695,19336.68359,28315.2832,26263.22852,15611.22656,26882.79297,20684.71289,23369.50391
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",59744.83984,141379.2813,145154.2656,123164.5703,121678.6875,149501.7656,147604.9531,146276.6094,36665.71484,39246.64453,37930.16016,100478.5625
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,38445.51563,28234.28906,28359.13281,26326.91211,29060.94531,28797.48828,29415.45703,30084.83594,22346.38086,20593.9668,23842.12305,18581.75781
O00221,NFKBIE,NF-kappa-B inhibitor epsilon,1688.156738,2491.123535,1394.375244,4127.575195,3054.411621,3953.570557,NaN,2001.986572,3598.264648,856.461853,839.954895,1680.521729
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,175846.0781,190828.9219,168422.7344,185699.6406,164151.4844,181901.0156,203025.3281,187634.2344,215625.0938,174283.8438,193907.5469,181962.9688
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,194141.5781,227074.7344,218946.8281,221909.8125,223474.3906,223748.7188,222457.5625,219633.2031,222458.9531,202359.9063,192527.5938,203280.7188
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,328593.2813,373969.875,397193.9375,350193.4375,350770.9688,357515.8438,342076.0313,392810.9688,289879.8125,319622.625,327364.375,315361.7813
O00244,ATOX1,Copper transport protein ATOX1,4311.732422,4172.269531,4527.631836,3638.583008,2036.195801,5019.779785,2912.060547,4324.820313,2448.65332,3074.44458,2129.142334,5505.285645
O00255,MEN1,Menin,10655.10156,9521.185547,6451.709961,8612.980469,8469.400391,5607.0625,5199.712402,8525.28418,11023.14551,16525.29492,17152.42969,14720.15332
O00257,CBX4,E3 SUMO-protein ligase CBX4,2843.811279,1984.592773,2158.919189,2754.687988,1766.195435,2684.719482,1766.664063,2526.149902,3481.861328,2735.195068,3238.849854,2118.019287
O00258,GET1,Guided entry of tail-anchored proteins factor 1,16238.16113,14417.77051,12468.32324,14902.08496,12474.84277,14377.42969,12069.20898,14596.0332,5943.932129,8815.12793,4590.081543,5237.44043
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,7212.509766,8774.348633,8210.818359,7696.598633,8616.295898,9556.904297,8481.253906,8467.260742,11162.26563,7078.354004,9980.646484,5004.793945
